language,family,genus
Afrikaans,Indo-European,Germanic
Ancient_Greek,UNK,UNK
Arabic,Afro-Asiatic,Semitic
Armenian,Indo-European,Armenian
Basque,Basque,Basque
Breton,Indo-European,Celtic
Bulgarian,Indo-European,Slavic
Buryat,UNK,UNK
Catalan,Indo-European,Romance
Chinese,other,Sign Languages
Croatian,Indo-European,Slavic
Czech,Indo-European,Slavic
Danish,Indo-European,Germanic
Dutch,Indo-European,Germanic
English,Indo-European,Germanic
Estonian,Uralic,Finnic
Faroese,Indo-European,Germanic
Finnish,Uralic,Finnic
French,Indo-European,Romance
Galician,Indo-European,Romance
German,Indo-European,Germanic
Gothic,UNK,UNK
Greek,Indo-European,Greek
Hebrew,Afro-Asiatic,Semitic
Hindi,Indo-European,Indic
Hungarian,Uralic,Ugric
Indonesian,Austronesian,Malayo-Sumbawan
Irish,Indo-European,Celtic
Italian,Indo-European,Romance
Japanese,Japanese,Japanese
Kazakh,Altaic,Turkic
Korean,Korean,Korean
Kurmanji,Indo-European,Iranian
Latin,UNK,UNK
Naija,UNK,UNK
North_Sami,UNK,UNK
Norwegian,Indo-European,"Germanic	"
Old_Church_Slavonic,UNK,UNK
Old_French,UNK,UNK
Persian,Indo-European,Iranian
Polish,Indo-European,Slavic
Portuguese,Indo-European,Romance
Romanian,Indo-European,Romance
Russian,Indo-European,Slavic
Serbian,Indo-European,Slavic
Slovak,Indo-European,Slavic
Slovenian,UNK,UNK
Spanish,Indo-European,Romance
Swedish,Indo-European,Germanic
Thai,Tai-Kadai,Kam-Tai
Turkish,Altaic,Turkic
Ukrainian,Indo-European,Slavic
Upper_Sorbian,UNK,UNK
Urdu,Indo-European,Indic
Uyghur,Altaic,Turkic
Vietnamese,Austro-Asiatic,"Viet-Muong			"
